央视频道,#genre#
CCTV1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.76.248.139/live/bfgd/4200000201.m3u8#http://120.76.248.139/live/bfgd/4200000484.m3u8#http://120.76.248.139/live/bfgd/4200000488.m3u8#http://120.76.248.139/live/bfgd/4200000489.m3u8#http://43.248.128.135:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8#http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://202.168.187.208:9089/tsfile/live/0002_1.m3u8#http://120.76.248.139/live/bfgd/4200000061.m3u8#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8#http://goo.bkpcp.top/mg/cctv2
CCTV3,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT#http://58.19.38.162:9901/tsfile/live/0003_1.m3u8#http://120.76.248.139/live/bfgd/4200000062.m3u8#http://43.248.128.135:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#http://goo.bkpcp.top/mg/cctv3#http://202.168.187.208:9089/tsfile/live/0003_1.m3u8
CCTV4,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.19.38.162:9901/tsfile/live/1004_1.m3u8#http://120.76.248.139/live/bfgd/4200000063.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://43.248.128.135:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://goo.bkpcp.top/mg/cctv4
CCTV5,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.19.38.162:9901/tsfile/live/1005_1.m3u8#http://120.76.248.139/live/bfgd/4200000064.m3u8#http://43.248.128.135:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8#http://43.248.128.135:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8#http://58.17.116.69:9904/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://1.itv.nctv.top:35455/gaoma/cctv6.m3u8#http://bg5aqv.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#http://43.248.128.135:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#http://183.66.15.146:60901/tsfile/live/0006_1.m3u8?key=txiptv#http://goo.bkpcp.top/mg/cctv6
CCTV7,http://113.57.111.4:1111/tsfile/live/1006_1.m3u8#http://www.terrykang.xyz:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://goo.bkpcp.top/mg/cctv7
CCTV8,http://221.2.148.205:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://43.248.128.135:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8#http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#http://43.248.128.135:35455/itv/1000000005000265009.m3u8?cdn=ystenlive#http://goo.bkpcp.top/mg/cctv9
