央视频道,#genre#
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9659&tk=b53028476470#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7689&tk=e503191f8e20#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6804&tk=b53028476470#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8619&tk=e503191f8e20#https://stream1.freetv.fun/f1fa8406434117dfaa5c0b174fa90a31da74b1ad921fc3ce3662a40cff4d9001.m3u8#https://stream1.freetv.fun/354e2e055127bbf43693aa848d84f93f5bcc517472a8858f188f313dbf157f51.m3u8#https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8#http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv#http://61.136.172.236:9901/tsfile/live/0001_1.m3u8#http://116.9.204.242:9901/tsfile/live/0001_1.m3u8#http://222.240.220.198:9901/tsfile/live/0001_1.m3u8#http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://ott.eonn.cn:35455/itv/1000000005000265001.m3u8?cdn=ystenlive#http://112.74.115.68:35455/gaoma/cctv1.m3u8#http://111.170.172.113:35455/gaoma/cctv1.m3u8#http://120.238.94.10:9901/tsfile/live/1018_1.m3u8#http://120.76.248.139/live/bfgd/4200000201.m3u8#http://home.dzlove.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive#http://58.220.219.14:9901/tsfile/live/0001_1.m3u8#https://www.freetv.top/migu/608807420.m3u8?migutoken=184a95f0cdaaf7c1f3c7b4cd06d432af7234562e68074726eac10898c158cf1eea49819ced71b5e3d2f3ea0023ff71f8062e39a0a92ffd236a2c1ef4a30ca7f3cb03548908d23e6c6d685437e2#https://www.freetv.top/migu/608807420.m3u8?migutoken=701afbfc9d2f77d62a9cc2f9479ecde3db6cef36d454660b5d2f0ffb3a1017d0e04c2e19dcbb7c344d80cfb64e43e90dd66c458476898ee612d0e2e9261645fcfc0d32fb90cdf2021d89c4877a#http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120#http://120.76.248.139/live/bfgd/4200000484.m3u8#http://120.76.248.139/live/bfgd/4200000488.m3u8#http://120.76.248.139/live/bfgd/4200000489.m3u8#http://43.248.128.135:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://117.144.58.42:35455/gaoma/cctv2.m3u8#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8#http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://202.168.187.208:9089/tsfile/live/0002_1.m3u8#http://120.76.248.139/live/bfgd/4200000061.m3u8#http://219.145.93.74:9999/tsfile/live/0002_1.m3u8#http://183.191.144.167:9003/hls/2/index.m3u8#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://ott.eonn.cn:35455/itv/1000000001000023315.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv2.m3u8#http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive#http://home.dzlove.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive#https://www.freetv.top/migu/631780532.m3u8?migutoken=6c76ed4394c8c43f88aac34dab811cbf99f0534dd0deb2fa6a2515925b7e3485de13876836fa6823e42f5c7304cfe44911416d7ad0312b8fbf012adfe4f735fd37abdd31a3b3e6f645512cd090#https://www.freetv.top/migu/631780532.m3u8?migutoken=9bacb748dc772b1cfcddf6e6373e3319c6d82105f221862932e3b30a6dc4843c93ace2108ab1d598c2d89ef8eb4225888737ce5895be20612ea7753d025151b9a913bd6fc98ff7666da5979f1d#http://43.248.128.135:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8#http://221.2.148.205:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT#http://183.191.144.167:9003/hls/3/index.m3u8#http://58.19.38.162:9901/tsfile/live/0003_1.m3u8#http://120.76.248.139/live/bfgd/4200000062.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#http://1.itv.nctv.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#http://1.itv.nctv.top:35455/gaoma/cctv3.m3u8#http://bg5aqv.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv3.m3u8#https://www.freetv.top/migu/624878271.m3u8?migutoken=35ee1318e92e1d47aa4e9ad2f98c1ca771a9ca57db36d1e18c3a4fabedd68b40ee0c4c4724347e54708380241e58d714dde21dcbd0f2eff4373c9d9f7f1508646f22febd08f5c3a8c755f6ef1e#http://www.freetv.top/migu/624878271.m3u8?migutoken=21306af96cf9259457600792df858b0d339bc7203aeb7e1a6ee6ec6ec3832a2736936029fe2583dcf971676870fdf0afbdee5be786e50af2ac6a8825673cc860d7988f44d0c5c4bc1931259698#http://home.dzlove.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive#https://www.freetv.top/migu/624878271.m3u8?migutoken=6051cf0f824b7432a7e38cb90b50dbc8d5f9dbc684d357663ae821fb87ae233a45772b235431568e910e14c17b7496429d23d2b4b3501692941d1e6d364b2e35ccf5890eb0c31743c5dffaa2ef#http://202.168.187.208:9089/tsfile/live/0003_1.m3u8#http://43.248.128.135:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://221.226.4.10:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.19.38.162:9901/tsfile/live/1004_1.m3u8#http://183.191.144.167:9003/hls/4/index.m3u8#http://219.145.93.74:9999/tsfile/live/0004_1.m3u8#http://120.76.248.139/live/bfgd/4200000063.m3u8#http://3501776.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv4.m3u8#https://www.freetv.top/migu/608807416.m3u8?migutoken=85c9fb128ac91587cf67086436bd4af8631774375811d0d14ba7158ffb2f56b528e7e92a2da4c2f8bd757394265b58efcbccdce316306a1dae700620a73e52c2ab049d8bd223c049567a8c10bf#https://tvpull.careryun.com/tv/cctv4.m3u8#http://home.dzlove.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://www.freetv.top/migu/631780421.m3u8?migutoken=7acf39385ea80b0efa77b918418fcf998d00455e8b98e02dff92961440d989e3b7da00ef24731d327c410f2ef9ceb51e2137c20b2b606646542ce4643521747bf78b7533b3ec604bba63ffdf43#https://www.freetv.top/migu/631780421.m3u8?migutoken=9c479e166888f001e1fb4ab5502e734251c68075cd89836a715137a1a2a4b18b60e282b0f1a308d6641c282600bd8db3cef99cb15edd0ab61d81c4d76d154bb464e3a02a75b167298c4747ce6f#https://www.freetv.top/migu/631780421.m3u8?migutoken=8dc7b786c408976ee73b6ee5a0e7bf7de8ed82ed22f8668130fa8f17f943f9aeefa99d71320e4b5ac6c57c70025c65d2b4c31a9dfca1ebed552d0e3d722521423806670cc55bb626ba456b64fe#https://www.freetv.top/migu/608807416.m3u8?migutoken=cfc1141967eb2f06f62caa8f87ecd004f5096e3d9013d45f3fbc7597bc6f8a5b22a7b29ff3e195b179467f54bb94620de38658b7c53f55144109671005f6b03a062dd1fc884e2169dbcb902874#http://1.itv.nctv.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive#http://43.248.128.135:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://117.144.58.42:35455/gaoma/cctv5.m3u8#http://221.226.4.10:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.191.144.167:9003/hls/5/index.m3u8#http://221.2.148.205:8154/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.17.48.228:808/hls/5/index.m3u8#http://221.2.148.205:8154/tsfile/live/0005_1.m3u8#http://home.dzlove.top:35455/itv/1000000005000265005.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv5.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265005.m3u8?cdn=ystenlive#http://1.itv.nctv.top:35455/gaoma/cctv5.m3u8#http://www.freetv.top/migu/641886683.m3u8?migutoken=cea30189b17e30fb3b4876609eb6e3128f840f8ab5db6f9643403213dc9980613938be69b13fe0290d2c44f0052b78d90c669a2f92e28951f92da861b7cba070b55ec1b4fe1a92a2c133c43c4c#https://www.freetv.top/migu/641886683.m3u8?migutoken=2394bc3ac567cd8270631b1f612f28f996719523d72453a2d116e0f33d6e35016d1954f50d7ae0eae4743d3557d85b85dc048a8c45ac3d96c528fce533ceeb7febaa06283ebe688a04fa57379a#https://www.freetv.top/migu/641886683.m3u8?migutoken=6e3c4a6fba0be5e4060d1c8abab920c2a8ee3308ee2e5a373bad466d9c1c0c3815b96ff56d6b8aab1f7440fc34813d288efe932e05cf0594d7b1a4eaa542a95508f64bbc8423a4e814954a0913#http://43.248.128.135:35455/itv/1000000005000265005.m3u8?cdn=ystenlive#http://36.44.157.36:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8#http://183.191.144.167:9003/hls/6/index.m3u8#http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://dsm.huarunguoji.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://home.dzlove.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://www.freetv.top/migu/641886773.m3u8?migutoken=752524a725f1fe3e2f8566518e97cd59f827e367318341fa56132b91af956b4e1cd85f255dd26352c1e9611c76770d0ba4afaf07d71eb65ec9859b3d8239dd7806fb2b21c9410b3e062eab2fcc#https://www.freetv.top/migu/641886773.m3u8?migutoken=04826a9d5cfc1d3166ded238eb3806d3454207482687b55dbe79a6feb6b4c046e0698d1e7b284da304040eae0ba7b6e833ace3e48213d98981589f226722524cddab32a63d58c1c4e60a091000#https://www.freetv.top/migu/641886773.m3u8?migutoken=4f1a9fcd002d1813b494eddd61778e103dbe130f4abb409e9032be9917dfd1871014d622a729fd6ffc4e1c376330de3f42c3691e2b49d12f7eb77bdf1887e67a9e6ad438d269a4408f0b3c6bcb#http://43.248.128.135:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://117.144.58.42:35455/gaoma/cctv6.m3u8#http://58.19.38.162:9901/tsfile/live/1006_1.m3u8#http://221.2.148.205:8154/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.17.116.69:9904/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://ott.eonn.cn:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#http://home.dzlove.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#https://www.freetv.top/migu/624878396.m3u8?migutoken=6b67cbdfb1839f227832346707fcbe0f8de95d5df4faa3a63d5243e5f4ca0f52e79f041476a989915ac41a009e4c8f405f58040a4d4ec74bde4c945654300a3c41c00f4d67ef3708cb107ba9e9#https://www.freetv.top/migu/624878396.m3u8?migutoken=cf8aa2ae484a26a284790c996f43ed3d911dfba0ee5662ecc4c55b38098e9337cf10f0ac3894a85627dcfe0492addd1d07ff6e3aa6f467d0a2f30f53c4d0ce2a4686f74d46c050c0e010f46a65#http://113.57.111.4:1111/tsfile/live/1005_1.m3u8#http://www.freetv.top/migu/624878396.m3u8?migutoken=3adcad950884d4ecc6c6967edee9c162189a1e09480eb5c29b369864aeedaed43c3f951d7eb6c32d86baac49792aacb3264b8f074e746477064fd7b1f172f00a9d84373825617d4366e8c54f0c#http://43.248.128.135:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#http://36.44.157.36:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.191.144.167:9003/hls/8/index.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://dsm.huarunguoji.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://home.dzlove.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv7.m3u8#https://www.freetv.top/migu/673168121.m3u8?migutoken=3253222269368c440aa1d23dba86c186a7b73abdea3890faf72e3d720844f8f1d3adc2b18ed047dbb3eff1a6c5d9379fad37d1f8a380d0e7c69e9ad6eb41709cf92077125fc0bded4cfd47808b#http://www.freetv.top/migu/673168121.m3u8?migutoken=bea4d574a7f96c7e95fb2000e191d57743cfdadfa9a4819385a46bf2bf269d9cf13b9bcc1494158b5bc16ce7d6751825800030253b91daf31a298122a2511f45821009cbeca64d12349bc0227d#https://www.freetv.top/migu/673168121.m3u8?migutoken=574d7f499abe28260750cc94be57fac402b5f84b72ecb907cf459ce8d58381c92f1a7208e1b83a752dcb0500c1839caea4e4747510bac25b9090fa959b172ce5389a900b4612dde9e9d594cf2e
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8#http://113.57.111.4:1111/tsfile/live/1007_1.m3u8#http://58.17.48.228:808/hls/8/index.m3u8#http://221.2.148.205:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.191.144.167:9003/hls/9/index.m3u8#http://dsm.huarunguoji.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv8.m3u8#http://ott.eonn.cn:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#http://home.dzlove.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#https://www.freetv.top/migu/624878356.m3u8?migutoken=77954cedc9129b5a32fc5051e38d53f2a899c7ac8a3816f202e171a39033d50f1e215095f4684658c35d35acfba5b76b4dfc1a9a6a0ec9fa3c481dee98b5d3f1cb4420d2aa955486a1f38d735e#http://2000.run:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#https://www.freetv.top/migu/624878356.m3u8?migutoken=fd27f61c7f7fe2cf7f724a0bb82a08a3e2d5c36e0ed91d4004eb9038918cf4e51f974f3288e5832b1e8b7907de8d1a37f400d9f454f47bb3fd4735c99fd4a541c6eea353c7d6d03cf5ec5b7533#http://www.freetv.top/migu/624878356.m3u8?migutoken=e6e1b0f11b3900539ca13088ccf9da6d0a771d58a295315011db1676c607e4bfd4d2ecf8b5f89e888d98843c67f6657703a3192a098894da656341d37aaa2d4abf591b1a09d80e6fff894dd29d
CCTV9,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8#http://117.144.58.42:35455/gaoma/cctv9.m3u8#http://221.226.4.10:9901/tsfile/live/0009_1.m3u8#http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#http://219.145.93.74:9999/tsfile/live/0009_1.m3u8#http://183.191.144.167:9003/hls/10/index.m3u8#http://home.dzlove.top:35455/itv/1000000005000265009.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv9.m3u8#https://www.freetv.top/migu/673168140.m3u8?migutoken=70f89f57af3b961c4266d3657e4e2bed7511bb081c6f118dec56c9cb101146db53ddfdbba9b52724c71e79f51bfe5806d61d41f8429293537387c552fed0c21e259ae489a2a54a8accda0abf71
